"date","type","registration","operator","fatalities","location","damage"
"19 May 2024","Airbus A330-343","HL-8502","T'way Air","0","60NM SE of Beijing Airport","non"
"20 May 2024","Boeing 757-330 (WL)","D-ABOB","Condor","0","Frankfurt International Airport (FRA/EDDF)","non"
"21 May 2024","Boeing 777-312ER","9V-SWM","Singapore Airlines","1","over Irrawaddy Basin","min"
"21 May 2024","Cirrus SF50 Vision Jet G2+ Xi","N18YF","JGM Aviation LLC","0","David Wayne Hooks Memorial Airport (DWH/KDWH), Houston, TX","sub"
"26 May 2024","Boeing 787-9 Dreamliner","A7-BHM","Qatar Airways","0","Turkish airspace","non"
"29 May 2024","Embraer ERJ-190STD","PH-EZL","KLM Cityhopper","0+1","Amsterdam-Schiphol International Airport (AMS/EHAM)","min"
"31 May 2024","Airbus A330-203","F-GZCL","Air France","0","N'Djamena Airport (NDJ/FTTJ)","sub"
"4 Jun 2024","Airbus A319-132","HS-PGN","Bangkok Airways","0","Koh Samui Airport (USM)","sub"
"4 Jun 2024","Bombardier DHC-8-402Q Dash 8","C-FWEW","WestJet Encore","0","Calgary International Airport, AB (YYC/CYYC)","sub"
"7 Jun 2024","Fairchild SA227-AC Metro III","LV-VDJ","Dos Mil Aerosistema","0","RÃ­o Gallegos International Airport, SC (RGL/SAWG)","sub"
"10 Jun 2024","Dornier 228-202K","MAF-T03","Malawi Air Force (MAF)","9","Chikangawa Forest Reserve, Mzimba District","w/o"
"14 Jun 2024","Antonov An-26-100","RA-26662","UTair Airlines","0","1 km from Utrenny Airport (USDM)","sub"
"17 Jun 2024","Boeing 767-316(ER)(BDSF)","C-FCJU","Cargojet Airways","0","Indianapolis, IN","sub"
"20 Jun 2024","Cessna 208B Supervan 900","OO-SEX","SkyDive Spa","0","Spa-La SauveniÃ¨re Airfield (EBSP)","sub"
"27 Jun 2024","Airbus A320-271N","ES-MBC","Marabu Airlines","0","MÃ¼nchen-Franz Josef Strauss Airport (MUC/EDDM)","sub"
"28 Jun 2024","Cessna 560XL Citation XLS","OE-GZK","International Jet Management","0","Amsterdam-Schiphol International Airport (AMS/EHAM)","sub"
"28 Jun 2024","Bombardier DHC-8-402Q Dash 8","C-GLQP","Porter Airlines","0","Fredericton Airport, NB (YFC/CYFC)","sub"
"30 Jun 2024","Cessna 525 Citation CJ1+","N865HC","Hollingsworth Intergalactic LLC","0","Richmond International Airport (Byrd Field) (RIC/KRIC), Richmond, VA","sub"
"1 Jul 2024","Boeing 787-9 Dreamliner","EC-MTI","Air Europa","0","NE of Natal, Brazil","min"
"2 Jul 2024","Airbus A330-343","T7-MMM","Garuda Indonesia, lsf San Marino Executive Aviation","0","NE of Jakarta","sub"
"5 Jul 2024","Antonov An-2R","RA-40983","Wings of Taiga","0","Khiloksky district of Transbaikal Territory","sub"
"2 Jan 2024","Airbus A350-941","JA13XJ","Japan Airlines","0+5","Tokyo International Airport/Haneda (HND/RJTT)","w/o"
"2 Jan 2024","de Havilland Canada DHC-8-315Q MPA","JA722A","Japan Coast Guard","5","Tokyo-Haneda Airport (HND/RJTT)","w/o"
